,Submission ID,Time,Agreement,Speaker ID,Age,Current Grade,Gender,Birth Country,Immigration Age,Exposed To Dialect Oslo,Exposed To Dialect Other,Exposed To Dialect Region,First Language,Second Language,Third Language,Fourth Language,First Language Level,Second Language Level,Third Language Level,Fourth Language Level,Used Languages,First Language Use,Second Language Use,Third Language Use,Fourth Language Use,Answer Time ms,Score 0,Score 1,Score 2,Score 3,Score 4,Score 5
24,24745754,2022-12-15 13:42:57,I agree,a26,12,7,M,Ukraine,12 (7 months ago),Oslo dialect,,,Ukrainian,Russian,English,Norsk,Advanced,Advanced,Intermediate,Basic,All,60,15,15,10,362224,0,1,40,127,90,8
25,24745904,2022-12-15 13:44:52,I agree,a27,11,6,M,Ukraine,11 (6 weeks ago),Oslo dialect,,,Russian,Ukrainian,English,,Advanced,Advanced,Intermediate,,"Russian, Ukranian, English",75,20,5,,479280,0,4,31,108,77,46
26,24746099,2022-12-15 13:47:03,I agree,a28,12,7,F,Indonesia,12 (1 month ago),Oslo dialect,,,English,Bahasa/Indonesian,,,Advanced,Intermediate,,,Bahasa and English,50,50,,,115565,0,0,21,120,96,29
27,24745613,2022-12-15 13:40:39,I agree,a29,11,6,F,USA,10 (2 months ago),Oslo dialect,,,English,,,,Advanced,,,,"English, Norwegian",95,5,,,222671,0,0,27,113,87,39
28,24746727,2022-12-15 13:55:16,I agree,a30,11,57a,F,Ukraine,10 (9 months ago),Oslo dialect,,,Ukrainian,English,Norsk,Russian,Advanced,Intermediate,Basic,Intermediate,Ukranian,100,,,,609854,0,1,17,106,100,42
29,24746960,2022-12-15 14:04:55,I agree,a31,12,7,M,Albania,12 (8 months ago),Oslo dialect,,,Albanian,English,Norwegian,,Advanced,Intermediate,Basic,,"Albanian, English",50,50,,,3522240,1,0,16,71,55,123
30,24746932,2022-12-15 14:02:57,I agree,a32,12,7,F,Ukraine,11 (10 months),Oslo dialect,,,Ukrainian,Russian,English,Norwegian,Advanced,Advanced,Intermediate,Intermediate,Russian,Russian 75%,Ukranian 20%,Norwegian 5%,,180613,0,0,18,95,103,50
31,24746855,2022-12-15 13:59:43,I agree,a33,11,6,F,Norway,10 (a few months ago),Oslo dialect,,,English,Norwegian,,,Advanced,Intermediate,,,"English, Norwegian",90,10,,,881837,0,0,9,44,81,132
32,24746797,2022-12-15 13:57:54,I agree,a34,10,57a,F,Russia,10 (3-ish months in Norway),Oslo dialect,,,Russian,English,Ukranian,Norwegian,Advanced,Intermediate,Basic,Basic,"Russian, English, Norwegian",95,4,1,,769551,0,1,32,118,85,30
33,21724224,2022-06-20 08:48:15,Godta,d01,8,3,M,Norway,,Oslo-dialekt,Annen dialekt,Østfold,Norwegian,,,,Avansert,,,,Norsk,100,,,,311888,2,0,1,22,27,165
34,21633280,2022-06-14 06:47:33,Godta,d02,8,2,F,Norway,,,Annen dialekt,Østfold,Norwegian,Engelsk,,,Avansert,Grunnleggende,,,Norsk,90,10,,,357068,6,1,5,23,34,148
35,21620309,2022-06-13 11:09:22,Godta,d03,8,2,M,Norway,,,Annen dialekt,Østfold,Norwegian,,,,Avansert,,,,Norsk,Norsk,,,,198911,1,0,1,25,45,145
36,21621466,2022-06-13 11:51:49,Godta,d04,7,1. trinn,F,Norway,,Oslo-dialekt,,,Norwegian,,,,Middels,,,,Norsk,100%,,,,145308,0,0,0,12,24,181
37,21631366,2022-06-13 22:47:14,Godta,d05,6,1,F,Norway,,,Annen dialekt,Østfold,Norwegian,Usbekisk (forstår deler/snakker lite),Engelsk,,Avansert,Grunnleggende,Grunnleggende,,"Norsk, usbekisk, engelsk",60,20,20,,96239,4,0,0,23,27,163
38,21752229,2022-06-21 19:21:15,Godta,d06,6,Barnehagen,F,Norway,,,Annen dialekt,Østfold,Norwegian,,,,Avansert,,,,Norsk,Norsk,,,,240090,0,0,3,27,47,140
39,21673639,2022-06-15 16:58:22,Godta,d07,8,2,F,Norway,,Oslo-dialekt,Annen dialekt,Østfold,Norwegian,,,,Avansert,,,,Norsk,Norsk,,,,675040,1,1,1,10,52,152
40,21753815,2022-06-21 21:44:42,Godta,d08,5,Hvitveisen,M,Norway,,,Annen dialekt,Østfold,Norwegian,,,,Avansert,,,,Norsk,100%,,,,309491,10,8,17,66,63,53
41,21791836,2022-06-24 10:11:51,Godta,d09,6,1,M,Norway,,Oslo-dialekt,,,Norwegian,,,,Avansert,,,,Norsk bokmål,100,,,,162244,38,3,12,41,42,81
42,21811087,2022-06-26 11:01:08,Godta,d10,9,4 trinn,M,Norway,,Oslo-dialekt,,,Norwegian,,,,Avansert,,,,Norsk,100%,,,,242323,1,0,4,32,34,146
43,21798244,2022-06-24 23:06:53,Godta,d11,4,Går i barnehage,F,Norway,,Oslo-dialekt,,,Norwegian,,,,Avansert,,,,Norsk,100%,,,,140552,4,2,2,31,42,136
44,21798232,2022-06-24 23:04:16,Godta,d12,6,1.,M,Norway,,Oslo-dialekt,,,Norwegian,,,,Avansert,,,,Norsk,100%,,,,537439,0,0,1,25,35,156
45,21631351,2022-06-13 22:45:08,Godta,d13,9,3,M,Norway,,,Annen dialekt,Østfold,Norwegian,Usbekisk (forstår deler/snakker lite),Engelsk,,Avansert,Grunnleggende,Grunnleggende,,"Norsk, usbekisk, engelsk",60,20,20,,324247,4,1,5,21,32,154
46,21854114,2022-06-29 11:43:07,Godta,d14,5,Barnehage,F,Norway,,,Annen dialekt,Østland,Norwegian,Engelsk,,,Middels,Grunnleggende,,,Norsk,95%,5%,,,307716,2,0,8,55,52,100
47,21854148,2022-06-29 11:46:25,Godta,d15,8,2,M,Norway,,,Annen dialekt,Østlandet,Norwegian,Engelsk,,,Avansert,Middels,,,Norsk,90%,10%,,,190998,0,0,1,16,52,148
48,21917922,2022-07-05 15:35:42,Godta,d16,5,1.,F,Norway,,Oslo-dialekt,Annen dialekt,Bergen,Norwegian,,,,Avansert,,,,Norsk,100%,,,,159675,3,1,5,24,45,139
49,21917940,2022-07-05 15:38:51,Godta,d17,7,2,F,Norway,,Oslo-dialekt,,,Norwegian,,,,Avansert,,,,norsk,100%,,,,176588,3,3,2,12,44,155
50,20559398,2022-04-22 09:07:24,Godta,d18,9,4. trinn,M,Norway,,Oslo-dialekt,,,Norwegian,Litt engelsk (fra gaming og skole),bittelitt finsk,,Avansert,Grunnleggende,,,Norsk,95%,5% engelsk,,,153406,1,0,0,17,19,178
51,20559362,2022-04-22 09:04:26,Godta,d19,8,2. klasse,M,Norway,,Oslo-dialekt,,,Norwegian,bittelita finsk (ikke mye),bittelita engelsk (fra spill og skole),,Avansert,,,,Norsk,100,,,,3597090,26,4,24,67,32,64
